module	L15	L30	H15	H30
Siroheme biosynthesis, glutamyl-tRNA => siroheme 	1310.161065	1373.487934	1526.413617	1374.569848
Heme biosynthesis, archaea, siroheme => heme 	534.0389317	487.737676	476.7080222	350.5361284
Aurachin biosynthesis, anthranilate => aurachin A 	636.344348	619.8842801	559.8757477	580.8635863
C5 isoprenoid biosynthesis, mevalonate pathway, archaea 	1159.983356	1033.266192	988.6519021	911.9333161
Glycogen biosynthesis, glucose-1P => glycogen/starch 	976.1420598	962.3426404	831.9488365	863.6037305
Glycogen degradation, glycogen => glucose-6P 	1009.994795	1049.560883	989.907011	898.7920754
beta-Oxidation, peroxisome, VLCFA 	15.71025829	11.56173874	3.944780116	2.614728487
beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA 	14.89628612	9.938827965	2.133831632	1.656097098
KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type 	1316.092218	1374.128255	1689.570075	1492.630133
KDO2-lipid A modification pathway 	158.9906373	166.5224589	289.1351089	271.8887313
Heme biosynthesis, animals and fungi, glycine => heme 	1055.840016	1108.671971	1306.66771	1193.466693
O-glycan biosynthesis, mannose type (core M3) 	6.429001821	3.225656209	7.106222796	11.02650431
Fatty acid biosynthesis in mitochondria, animals 	701.8000301	742.7240388	710.8724266	631.245654
Fatty acid biosynthesis in mitochondria, fungi 	1805.22804	1841.988619	2074.535541	1900.327096
Staphyloferrin B biosynthesis, L-serine => staphyloferrin B 	17.75284523	16.87060285	7.531721457	26.16251474
Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A 	58.77746504	49.74344147	13.17330651	49.98284846
Kanosamine biosynthesis glucose 6-phosphate => kanosamine 	7.724436957	13.53853029	19.3977824	14.64666292
Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA 	1816.89199	1807.598092	2017.196797	1991.452612
Arginine succinyltransferase pathway, arginine => glutamate 	124.9648027	169.0050151	324.4404407	249.1191464
Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor 	1330.128793	1316.553928	1235.479896	1155.924138
Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H 	359.7325417	379.1788199	425.9610851	359.970038
Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H 	239.1541073	243.027518	243.9231493	204.9417594
Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2 	264.6868064	272.3217805	298.9129639	250.6001692
Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2 	239.1541073	243.027518	243.9231493	204.9417594
Puromycin biosynthesis, ATP => puromycin 	951.3220078	962.6810586	914.7091652	939.0140655
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP 	343.2486168	330.4909527	300.4594168	324.5201753
Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP 	50.70409208	39.49080228	21.71066023	21.68609495
Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP 	0.070655739	0.721242909	1.537048278	0.967801942
Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP 	0.070655739	0.721242909	1.537048278	0.967801942
Thiamine salvage pathway, HMP/HET => TMP 	111.5013741	99.69469521	86.06641783	79.84423746
Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin 	4.153290589	6.126503639	6.651878707	4.645977652
UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc 	1520.379245	1526.612722	1419.434647	1425.815959
Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD 	68.88048656	86.46735378	141.3228952	142.8485343
NAD biosynthesis, tryptophan => quinolinate => NAD 	1148.194422	1155.664454	1134.089225	1182.234834
Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate 	508.5385058	503.8019765	496.9387588	473.4330887
Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA 	855.1186887	826.9582761	812.2560528	769.6265375
Caffeine degradation, caffeine => xanthine 	0.238968653	0.345424812	6.421292688	3.44493243
Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P 	75.79338296	65.15797239	44.07480478	49.95981969
Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol 	0.459706875	0.716760866	2.726660881	1.502166574
Aerobactin biosynthesis, lysine => aerobactin 	14.22494809	17.07628073	44.28327378	42.58007078
Ectoine degradation, ectoine => aspartate 	48.07061894	73.649091	105.7065998	87.78002083
Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin 	29.20385766	18.76776342	13.69702625	14.506589
CMP-Neu5Ac biosynthesis 	61.80952535	66.49189968	35.25433802	38.47558118
UDP-L-FucNAm biosynthesis 	271.3261153	216.5628602	118.8878707	153.8276201
Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide 	1769.422687	1752.943931	1412.67574	1301.757086
Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide 	1188.029565	1197.741804	1063.3725	1055.142909
Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme 	1442.355963	1472.732698	1604.039464	1472.780078
Menaquinone biosynthesis, futalosine pathway 	352.1528495	308.5545508	128.374094	132.1375346
Menaquinone biosynthesis, modified futalosine pathway 	295.1390962	255.236473	98.85195629	106.7400951
Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol 	60.91805419	106.4406783	174.2722259	177.071204
Plastoquinone biosynthesis, homogentisate + solanesyl-PP => plastoquinol 	0.181403084	0.245082542	0.105269356	0
Methanofuran biosynthesis 	138.4458238	126.3453523	96.77778692	89.55890848
Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin 	68.2650756	56.90164232	44.04766344	30.67515057
